time_s,field,audit_reproduction_value,production_env_run_experiment_value,match,status
30,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
30,controller,none,none,YES,CONSISTENT
30,seed,0,0,YES,CONSISTENT
30,time_s,30,30,YES,CONSISTENT
30,mainline_vph,1200,1200,YES,CONSISTENT
30,ramp_vph,120,120,YES,CONSISTENT
30,mean_speed_mps,0.0,0.0,YES,CONSISTENT
30,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
30,bottleneck_flow_veh,0,0,YES,CONSISTENT
30,bottleneck_occupancy,0.0,0.0,YES,CONSISTENT
30,ramp_queue_veh,0,0,YES,CONSISTENT
30,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
30,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
30,departed_veh,11,11,YES,CONSISTENT
30,arrived_veh,0,0,YES,CONSISTENT
30,teleports,0,0,YES,CONSISTENT
60,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
60,controller,none,none,YES,CONSISTENT
60,seed,0,0,YES,CONSISTENT
60,time_s,60,60,YES,CONSISTENT
60,mainline_vph,1200,1200,YES,CONSISTENT
60,ramp_vph,120,120,YES,CONSISTENT
60,mean_speed_mps,0.0,0.0,YES,CONSISTENT
60,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
60,bottleneck_flow_veh,0,0,YES,CONSISTENT
60,bottleneck_occupancy,0.0,0.0,YES,CONSISTENT
60,ramp_queue_veh,0,0,YES,CONSISTENT
60,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
60,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
60,departed_veh,22,22,YES,CONSISTENT
60,arrived_veh,0,0,YES,CONSISTENT
60,teleports,0,0,YES,CONSISTENT
90,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
90,controller,none,none,YES,CONSISTENT
90,seed,0,0,YES,CONSISTENT
90,time_s,90,90,YES,CONSISTENT
90,mainline_vph,1200,1200,YES,CONSISTENT
90,ramp_vph,120,120,YES,CONSISTENT
90,mean_speed_mps,0.0,0.0,YES,CONSISTENT
90,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
90,bottleneck_flow_veh,0,0,YES,CONSISTENT
90,bottleneck_occupancy,0.0,0.0,YES,CONSISTENT
90,ramp_queue_veh,0,0,YES,CONSISTENT
90,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
90,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
90,departed_veh,33,33,YES,CONSISTENT
90,arrived_veh,0,0,YES,CONSISTENT
90,teleports,0,0,YES,CONSISTENT
120,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
120,controller,none,none,YES,CONSISTENT
120,seed,0,0,YES,CONSISTENT
120,time_s,120,120,YES,CONSISTENT
120,mainline_vph,1200,1200,YES,CONSISTENT
120,ramp_vph,120,120,YES,CONSISTENT
120,mean_speed_mps,30.880494092617862,30.880494092617862,YES,CONSISTENT
120,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
120,bottleneck_flow_veh,0,0,YES,CONSISTENT
120,bottleneck_occupancy,0.0,0.0,YES,CONSISTENT
120,ramp_queue_veh,0,0,YES,CONSISTENT
120,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
120,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
120,departed_veh,44,44,YES,CONSISTENT
120,arrived_veh,1,1,YES,CONSISTENT
120,teleports,0,0,YES,CONSISTENT
150,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
150,controller,none,none,YES,CONSISTENT
150,seed,0,0,YES,CONSISTENT
150,time_s,150,150,YES,CONSISTENT
150,mainline_vph,1200,1200,YES,CONSISTENT
150,ramp_vph,120,120,YES,CONSISTENT
150,mean_speed_mps,32.99276584265308,32.99276584265308,YES,CONSISTENT
150,upstream_speed_mps,32.99276584265308,32.99276584265308,YES,CONSISTENT
150,bottleneck_flow_veh,1,1,YES,CONSISTENT
150,bottleneck_occupancy,0.15027135146985415,0.15027135146985415,YES,CONSISTENT
150,ramp_queue_veh,0,0,YES,CONSISTENT
150,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
150,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
150,departed_veh,55,55,YES,CONSISTENT
150,arrived_veh,2,2,YES,CONSISTENT
150,teleports,0,0,YES,CONSISTENT
180,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
180,controller,none,none,YES,CONSISTENT
180,seed,0,0,YES,CONSISTENT
180,time_s,180,180,YES,CONSISTENT
180,mainline_vph,1200,1200,YES,CONSISTENT
180,ramp_vph,120,120,YES,CONSISTENT
180,mean_speed_mps,0.0,0.0,YES,CONSISTENT
180,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
180,bottleneck_flow_veh,0,0,YES,CONSISTENT
180,bottleneck_occupancy,0.0,0.0,YES,CONSISTENT
180,ramp_queue_veh,0,0,YES,CONSISTENT
180,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
180,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
180,departed_veh,66,66,YES,CONSISTENT
180,arrived_veh,2,2,YES,CONSISTENT
180,teleports,0,0,YES,CONSISTENT
210,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
210,controller,none,none,YES,CONSISTENT
210,seed,0,0,YES,CONSISTENT
210,time_s,210,210,YES,CONSISTENT
210,mainline_vph,1200,1200,YES,CONSISTENT
210,ramp_vph,120,120,YES,CONSISTENT
210,mean_speed_mps,0.0,0.0,YES,CONSISTENT
210,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
210,bottleneck_flow_veh,0,0,YES,CONSISTENT
210,bottleneck_occupancy,0.0,0.0,YES,CONSISTENT
210,ramp_queue_veh,0,0,YES,CONSISTENT
210,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
210,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
210,departed_veh,77,77,YES,CONSISTENT
210,arrived_veh,9,9,YES,CONSISTENT
210,teleports,0,0,YES,CONSISTENT
240,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
240,controller,none,none,YES,CONSISTENT
240,seed,0,0,YES,CONSISTENT
240,time_s,240,240,YES,CONSISTENT
240,mainline_vph,1200,1200,YES,CONSISTENT
240,ramp_vph,120,120,YES,CONSISTENT
240,mean_speed_mps,0.0,0.0,YES,CONSISTENT
240,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
240,bottleneck_flow_veh,1,1,YES,CONSISTENT
240,bottleneck_occupancy,0.16793975704757713,0.16793975704757713,YES,CONSISTENT
240,ramp_queue_veh,0,0,YES,CONSISTENT
240,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
240,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
240,departed_veh,88,88,YES,CONSISTENT
240,arrived_veh,19,19,YES,CONSISTENT
240,teleports,0,0,YES,CONSISTENT
270,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
270,controller,none,none,YES,CONSISTENT
270,seed,0,0,YES,CONSISTENT
270,time_s,270,270,YES,CONSISTENT
270,mainline_vph,1200,1200,YES,CONSISTENT
270,ramp_vph,120,120,YES,CONSISTENT
270,mean_speed_mps,29.434927746846373,29.434927746846373,YES,CONSISTENT
270,upstream_speed_mps,29.434927746846373,29.434927746846373,YES,CONSISTENT
270,bottleneck_flow_veh,0,0,YES,CONSISTENT
270,bottleneck_occupancy,0.0,0.0,YES,CONSISTENT
270,ramp_queue_veh,0,0,YES,CONSISTENT
270,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
270,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
270,departed_veh,99,99,YES,CONSISTENT
270,arrived_veh,30,30,YES,CONSISTENT
270,teleports,0,0,YES,CONSISTENT
300,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
300,controller,none,none,YES,CONSISTENT
300,seed,0,0,YES,CONSISTENT
300,time_s,300,300,YES,CONSISTENT
300,mainline_vph,1200,1200,YES,CONSISTENT
300,ramp_vph,120,120,YES,CONSISTENT
300,mean_speed_mps,32.06178728734499,32.06178728734499,YES,CONSISTENT
300,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
300,bottleneck_flow_veh,0,0,YES,CONSISTENT
300,bottleneck_occupancy,0.0,0.0,YES,CONSISTENT
300,ramp_queue_veh,0,0,YES,CONSISTENT
300,alinea_requested_rate_vph,1200.0,1200.0,YES,CONSISTENT
300,alinea_applied_rate_vph,1200.0,1200.0,YES,CONSISTENT
300,departed_veh,110,110,YES,CONSISTENT
300,arrived_veh,38,38,YES,CONSISTENT
300,teleports,0,0,YES,CONSISTENT
330,experiment_id,main1200_ramp120_none_seed0_9587c551,main1200_ramp120_none_seed0_9587c551,YES,CONSISTENT
330,controller,none,none,YES,CONSISTENT
330,seed,0,0,YES,CONSISTENT
330,time_s,330,330,YES,CONSISTENT
330,mainline_vph,1200,1200,YES,CONSISTENT
330,ramp_vph,120,120,YES,CONSISTENT
330,mean_speed_mps,33.09660755307266,33.09660755307266,YES,CONSISTENT
330,upstream_speed_mps,-1.0,-1.0,YES,CONSISTENT
330,bottleneck_flow_veh,0,0,YES,CONSISTENT
