time_s,step_loaded_veh,loaded_total_veh,step_departed_veh,departed_total_veh,step_arrived_veh,arrived_total_veh,pending_veh,in_network_veh,active_vehicle_veh,min_expected_veh,step_starting_teleports,starting_teleports_total,step_ending_teleports,system_vehicle_exposure_veh_s,loaded_ids,departed_ids,arrived_ids,pending_ids,active_vehicle_ids,starting_teleport_ids,ending_teleport_ids,det_main_0_count,det_main_0_speed_mps,det_main_0_occupancy_fraction,det_main_1_count,det_main_1_speed_mps,det_main_1_occupancy_fraction,det_main_2_count,det_main_2_speed_mps,det_main_2_occupancy_fraction,det_main_3_count,det_main_3_speed_mps,det_main_3_occupancy_fraction,det_main_4_count,det_main_4_speed_mps,det_main_4_occupancy_fraction,det_bottleneck_down_count,det_bottleneck_down_speed_mps,det_bottleneck_down_occupancy_fraction,det_ramp_arrival_count,det_ramp_arrival_speed_mps,det_ramp_arrival_occupancy_fraction,det_ramp_queue_vehicle_count,det_ramp_queue_halting_count
1,2,2,2,2,0,0,0,2,2,4,0,0,0,2,main_0.0;ramp_0.0,main_0.0;ramp_0.0,,,main_0.0;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
2,0,2,0,2,0,0,0,2,2,4,0,0,0,2,,,,,main_0.0;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
3,0,2,0,2,0,0,0,2,2,4,0,0,0,2,,,,,main_0.0;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,23.107819427262978,0.21637697212143348,1,0
4,1,3,1,3,0,0,0,3,3,5,0,0,0,3,main_0.1,main_0.1,,,main_0.0;main_0.1;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
5,0,3,0,3,0,0,0,3,3,5,0,0,0,3,,,,,main_0.0;main_0.1;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
6,0,3,0,3,0,0,0,3,3,5,0,0,0,3,,,,,main_0.0;main_0.1;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
7,1,4,1,4,0,0,0,4,4,6,0,0,0,4,main_0.2,main_0.2,,,main_0.0;main_0.1;main_0.2;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
8,0,4,0,4,0,0,0,4,4,6,0,0,0,4,,,,,main_0.0;main_0.1;main_0.2;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
9,0,4,0,4,0,0,0,4,4,6,0,0,0,4,,,,,main_0.0;main_0.1;main_0.2;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
10,1,5,1,5,0,0,0,5,5,7,0,0,0,5,main_0.3,main_0.3,,,main_0.0;main_0.1;main_0.2;main_0.3;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
11,0,5,0,5,0,0,0,5,5,7,0,0,0,5,,,,,main_0.0;main_0.1;main_0.2;main_0.3;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
12,0,5,0,5,0,0,0,5,5,7,0,0,0,5,,,,,main_0.0;main_0.1;main_0.2;main_0.3;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
13,1,6,1,6,0,0,0,6,6,8,0,0,0,6,main_0.4,main_0.4,,,main_0.0;main_0.1;main_0.2;main_0.3;main_0.4;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
14,0,6,0,6,0,0,0,6,6,8,0,0,0,6,,,,,main_0.0;main_0.1;main_0.2;main_0.3;main_0.4;ramp_0.0,,,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,0,-1.0,0.0,1,0
