scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1925+60,none,1,30,0,,0.0,0,0.0,0,0.0,0,17,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,60,0,,0.0,0,0.0,0,0.0,0,33,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,90,0,,0.0,0,0.0,0,0.0,0,50,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,120,0,,0.0,0,0.16666666666666666,1,0.0,0,66,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,150,0,,0.0,0,0.8,1,0.0,0,83,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,180,2,32.16726394790388,0.0011269057477254782,1,0.26666666666666666,1,0.0,0,99,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,210,15,25.694624614582104,0.03711852669018422,9,0.8666666666666667,1,0.0,0,116,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,240,13,27.093941312014426,0.032621788355578,11,0.6,1,0.0,0,132,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,270,12,25.97580789983113,0.022714340751683913,10,0.1,1,0.0,0,149,1,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,300,3,21.777935150249135,0.0108437477393115,3,0.7,1,0.0,0,165,1,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,330,26,21.19083483642143,0.05892045070346133,19,0.13333333333333333,1,0.0,0,182,6,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,360,18,21.68377842944849,0.048519660091047474,15,0.7333333333333333,1,0.0,0,198,18,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,390,23,21.69906422505495,0.05832870571860648,18,0.0,0,0.0,0,216,28,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,420,24,21.709933868800558,0.05610592078090993,19,0.8333333333333334,1,0.0,0,232,33,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,450,28,21.930128247653204,0.04615123410683282,18,1.0,1,0.8666666666666667,1,249,37,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,480,18,22.15602076399606,0.0411597942911925,15,1.7,2,1.0,1,265,48,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,510,23,22.77398308010441,0.04948413997879205,17,2.0,2,1.7666666666666666,2,282,61,0,0,1200.0,1200.0,30.0,0.0,0
1925+60,none,1,540,19,21.97908690734041,0.041035362129798615,15,2.0,2,2.0,2,298,76,0,0,1200.0,1200.0,30.0,0.0,0
