time_s,commanded_state,observed_state,requested_rate_vph,applied_rate_vph,green_s,red_s
0,GG,GG,915.4,915.4,22.885,7.114999999999998
1,GG,GG,915.4,915.4,22.885,7.114999999999998
2,GG,GG,915.4,915.4,22.885,7.114999999999998
3,GG,GG,915.4,915.4,22.885,7.114999999999998
4,GG,GG,915.4,915.4,22.885,7.114999999999998
5,GG,GG,915.4,915.4,22.885,7.114999999999998
6,GG,GG,915.4,915.4,22.885,7.114999999999998
7,GG,GG,915.4,915.4,22.885,7.114999999999998
8,GG,GG,915.4,915.4,22.885,7.114999999999998
9,GG,GG,915.4,915.4,22.885,7.114999999999998
10,GG,GG,915.4,915.4,22.885,7.114999999999998
11,GG,GG,915.4,915.4,22.885,7.114999999999998
12,GG,GG,915.4,915.4,22.885,7.114999999999998
13,GG,GG,915.4,915.4,22.885,7.114999999999998
14,GG,GG,915.4,915.4,22.885,7.114999999999998
15,GG,GG,915.4,915.4,22.885,7.114999999999998
16,GG,GG,915.4,915.4,22.885,7.114999999999998
17,GG,GG,915.4,915.4,22.885,7.114999999999998
18,GG,GG,915.4,915.4,22.885,7.114999999999998
19,GG,GG,915.4,915.4,22.885,7.114999999999998
20,GG,GG,915.4,915.4,22.885,7.114999999999998
21,GG,GG,915.4,915.4,22.885,7.114999999999998
22,GG,GG,915.4,915.4,22.885,7.114999999999998
23,rr,rr,915.4,915.4,22.885,7.114999999999998
24,rr,rr,915.4,915.4,22.885,7.114999999999998
25,rr,rr,915.4,915.4,22.885,7.114999999999998
26,rr,rr,915.4,915.4,22.885,7.114999999999998
27,rr,rr,915.4,915.4,22.885,7.114999999999998
28,rr,rr,915.4,915.4,22.885,7.114999999999998
29,rr,rr,915.4,915.4,22.885,7.114999999999998
30,GG,GG,930.8,930.8,23.27,6.73
31,GG,GG,930.8,930.8,23.27,6.73
32,GG,GG,930.8,930.8,23.27,6.73
33,GG,GG,930.8,930.8,23.27,6.73
34,GG,GG,930.8,930.8,23.27,6.73
35,GG,GG,930.8,930.8,23.27,6.73
36,GG,GG,930.8,930.8,23.27,6.73
37,GG,GG,930.8,930.8,23.27,6.73
38,GG,GG,930.8,930.8,23.27,6.73
39,GG,GG,930.8,930.8,23.27,6.73
40,GG,GG,930.8,930.8,23.27,6.73
41,GG,GG,930.8,930.8,23.27,6.73
42,GG,GG,930.8,930.8,23.27,6.73
43,GG,GG,930.8,930.8,23.27,6.73
44,GG,GG,930.8,930.8,23.27,6.73
45,GG,GG,930.8,930.8,23.27,6.73
46,GG,GG,930.8,930.8,23.27,6.73
47,GG,GG,930.8,930.8,23.27,6.73
48,GG,GG,930.8,930.8,23.27,6.73
49,GG,GG,930.8,930.8,23.27,6.73
50,GG,GG,930.8,930.8,23.27,6.73
51,GG,GG,930.8,930.8,23.27,6.73
52,GG,GG,930.8,930.8,23.27,6.73
53,GG,GG,930.8,930.8,23.27,6.73
54,rr,rr,930.8,930.8,23.27,6.73
55,rr,rr,930.8,930.8,23.27,6.73
56,rr,rr,930.8,930.8,23.27,6.73
57,rr,rr,930.8,930.8,23.27,6.73
58,rr,rr,930.8,930.8,23.27,6.73
59,rr,rr,930.8,930.8,23.27,6.73
60,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
61,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
62,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
63,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
64,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
65,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
66,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
67,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
68,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
69,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
70,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
71,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
72,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
73,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
74,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
75,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
76,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
77,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
78,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
79,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
80,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
81,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
82,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
83,GG,GG,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
84,rr,rr,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
85,rr,rr,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
86,rr,rr,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
87,rr,rr,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
88,rr,rr,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
89,rr,rr,946.1999999999999,946.1999999999999,23.654999999999998,6.345000000000002
90,GG,GG,961.5999999999999,961.5999999999999,24.039999999999996,5.960000000000004
91,GG,GG,961.5999999999999,961.5999999999999,24.039999999999996,5.960000000000004
92,GG,GG,961.5999999999999,961.5999999999999,24.039999999999996,5.960000000000004
93,GG,GG,961.5999999999999,961.5999999999999,24.039999999999996,5.960000000000004
94,GG,GG,961.5999999999999,961.5999999999999,24.039999999999996,5.960000000000004
95,GG,GG,961.5999999999999,961.5999999999999,24.039999999999996,5.960000000000004
96,GG,GG,961.5999999999999,961.5999999999999,24.039999999999996,5.960000000000004
