scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
400+80,none,1,30,0,,0.0,0,0.0,0,0.0,0,5,0,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,60,0,,0.0,0,0.0,0,0.0,0,9,0,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,90,0,,0.0,0,0.0,0,0.0,0,12,0,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,120,0,,0.0,0,0.16666666666666666,1,0.0,0,17,0,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,150,0,,0.0,0,0.8,1,0.0,0,21,0,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,180,2,32.16726394790388,0.0011269057477254782,2,0.5666666666666667,1,0.0,0,24,0,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,210,3,23.850845735233307,0.0060938199488532515,3,0.43333333333333335,1,0.0,0,29,0,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,240,7,29.343283161089474,0.015921065692556625,7,0.0,0,0.0,0,33,0,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,270,5,26.84231236094887,0.014959897102226687,5,0.4666666666666667,2,0.03333333333333333,1,36,1,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,300,3,28.95484078267007,0.008117039962905892,3,2.2333333333333334,3,0.0,0,41,1,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,330,5,30.260830503993816,0.006388148263724247,5,1.4,3,0.03333333333333333,1,45,5,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,360,5,30.296491867688083,0.012985165457545614,5,1.0,1,0.23333333333333334,1,48,9,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,390,4,32.43309129616641,0.0023630963141376546,4,0.7,1,0.6333333333333333,1,53,13,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,420,5,19.581809281685423,0.013441829179491075,5,0.9,1,0.0,0,57,18,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,450,1,24.596698288180804,0.0031847092815288154,1,0.6,1,0.0,0,60,21,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,480,11,21.479987983904643,0.019374826820477628,11,1.0333333333333334,2,0.0,0,65,27,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,510,7,23.482384457642464,0.020241325312804294,7,0.4666666666666667,1,0.0,0,69,27,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,540,4,31.59497316182058,0.007387432821068766,4,0.4,1,0.0,0,72,30,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,570,4,28.110460931750307,0.006473547296898611,4,1.5333333333333334,2,0.0,0,77,31,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,600,5,27.10134510887623,0.0091962912066568,5,0.7,1,0.03333333333333333,1,81,33,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,630,3,32.25040662626465,0.00728677068569823,3,1.0,1,0.8,1,84,39,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,660,5,25.238640216554213,0.011353590713694454,5,1.0333333333333334,2,0.9333333333333333,1,89,50,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,690,6,25.432532421031574,0.01324168532985747,6,1.2,2,0.03333333333333333,1,93,52,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,720,4,30.87571320969778,0.010177126685118765,4,2.0,2,1.2,2,96,56,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,750,4,29.870858999263657,0.0073724276235945276,4,2.1333333333333333,3,2.0,2,101,58,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,780,3,25.68425021247764,0.009399358280065447,3,2.2333333333333334,3,1.2,2,105,60,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,810,5,30.459652775999526,0.008566982323497997,5,2.8,3,2.0,2,108,67,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,840,5,28.225734886111653,0.010838304899615044,5,3.5,4,2.433333333333333,3,113,72,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,870,5,28.6245471896302,0.01399436749923666,5,3.3,4,2.8,3,117,74,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,900,2,31.103814174008548,0.0050368966687566775,2,4.033333333333333,5,3.4,4,120,79,0,0,1200.0,1200.0,30.0,0.0,0
