scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1600+0,none,1,30,0,,0.0,0,0.0,0,0.0,0,13,0,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,60,0,,0.0,0,0.0,0,0.0,0,27,0,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,90,0,,0.0,0,0.0,0,0.0,0,40,0,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,120,0,,0.0,0,0.0,0,0.0,0,53,0,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,150,0,,0.0,0,0.0,0,0.0,0,67,0,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,180,3,30.709342437711225,0.003804838335254601,2,0.0,0,0.0,0,80,0,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,210,5,28.132501397993774,0.013943881369572845,5,0.0,0,0.0,0,93,0,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,240,6,27.054448342431073,0.017406492573887534,6,0.0,0,0.0,0,107,0,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,270,7,22.466852734275996,0.024406326123866506,7,0.0,0,0.0,0,120,1,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,300,18,22.472420304781465,0.05037529180288611,16,0.0,0,0.0,0,133,2,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,330,19,22.430903588638433,0.05476451986073035,17,0.0,0,0.0,0,147,7,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,360,10,22.16973617393965,0.014974004951290946,6,0.0,0,0.0,0,160,13,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,390,23,22.27918008646315,0.05335991419733356,18,0.0,0,0.0,0,173,14,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,420,20,22.333976588803107,0.05468126996875924,17,0.0,0,0.0,0,187,22,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,450,17,23.68941320608583,0.044920262018486784,15,0.0,0,0.0,0,200,35,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,480,20,24.313311767730212,0.03795209974217073,14,0.0,0,0.0,0,213,47,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,510,10,24.010488349622847,0.017891291339629824,8,0.0,0,0.0,0,227,58,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,540,17,23.724430868949728,0.04091333517930877,14,0.0,0,0.0,0,240,73,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,570,21,23.2562186539185,0.0620345770046716,19,0.0,0,0.0,0,253,87,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,600,6,23.801672767195154,0.013057782270014211,5,0.0,0,0.0,0,267,103,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,630,21,23.283542480177815,0.048158978876176664,17,0.0,0,0.0,0,280,117,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,660,19,23.266345962500267,0.06396938542219459,19,0.0,0,0.0,0,293,132,0,0,1200.0,1200.0,30.0,0.0,0
1600+0,none,1,690,12,24.807283112056815,0.03125689255181025,10,0.0,0,0.0,0,307,147,0,0,1200.0,1200.0,30.0,0.0,0
