scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1975+0,none,4,30,0,,0.0,0,0.0,0,0.0,0,16,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,60,0,,0.0,0,0.0,0,0.0,0,33,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,90,0,,0.0,0,0.0,0,0.0,0,49,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,120,0,,0.0,0,0.0,0,0.0,0,66,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,150,0,,0.0,0,0.0,0,0.0,0,82,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,180,5,31.72041746315627,0.008685520938706285,4,0.0,0,0.0,0,99,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,210,4,28.84748904432647,0.010891285643791094,4,0.0,0,0.0,0,115,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,240,15,26.426076126505716,0.032119775210494105,12,0.0,0,0.0,0,132,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,270,16,25.590171604581055,0.042945623868489234,14,0.0,0,0.0,0,148,3,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,300,18,25.05167992215847,0.04461786883387901,16,0.0,0,0.0,0,165,6,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,330,18,24.582528296358593,0.05218801464069524,17,0.0,0,0.0,0,181,7,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,360,19,24.42144470321919,0.042733776689063536,15,0.0,0,0.0,0,197,16,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,390,17,24.39627094161057,0.05096010583272535,16,0.0,0,0.0,0,214,28,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,420,16,24.281204884542387,0.041993119254462384,14,0.0,0,0.0,0,230,41,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,450,18,23.69823215093765,0.03924107523565965,14,0.0,0,0.0,0,247,55,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,480,25,23.457295527121104,0.0534742852701091,18,0.0,0,0.0,0,263,69,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,510,16,23.530099610242864,0.03949182942343252,13,0.0,0,0.0,0,280,83,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,540,21,23.050156790645403,0.060427825863232934,19,0.0,0,0.0,0,296,99,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,570,18,23.545785768473813,0.04034110050512633,14,0.0,0,0.0,0,313,113,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,600,3,20.79157376421408,0.011302655714272684,3,0.0,0,0.0,0,329,126,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,630,23,20.78690167896028,0.062078580214218464,19,0.0,0,0.0,0,346,142,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,660,15,20.58736962343602,0.046760367776408886,13,0.0,0,0.0,0,362,156,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,690,20,20.406643524612665,0.058154570537431026,17,0.0,0,0.0,0,378,172,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,720,22,20.37902875934496,0.07272326944241173,19,0.0,0,0.0,0,395,186,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,750,24,20.36068389065604,0.06700744756164265,20,0.0,0,0.0,0,411,193,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,780,22,20.343737686395762,0.06851176920716284,19,0.0,0,0.0,0,428,204,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,810,23,20.34203880817545,0.06622170949797995,19,0.0,0,0.0,0,444,220,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,840,24,20.413514372074808,0.07409393740770914,21,0.0,0,0.0,0,461,232,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,870,25,20.053008785777354,0.06862414907198514,20,0.0,0,0.0,0,477,246,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,900,19,22.84561448904276,0.05713338639350051,17,0.0,0,0.0,0,494,262,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,930,19,24.127534489658448,0.05044331734145355,17,0.0,0,0.0,0,510,277,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,960,17,24.309277532156976,0.05126904106921491,16,0.0,0,0.0,0,527,293,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,990,20,24.961726908003875,0.03715490944959659,15,0.0,0,0.0,0,543,309,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1020,20,23.987075072098573,0.04615996497806426,16,0.0,0,0.0,0,560,324,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1050,19,24.2606173598225,0.04535257250104981,16,0.0,0,0.0,0,576,339,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1080,20,23.965550552886036,0.04892112634551798,16,0.0,0,0.0,0,592,354,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1110,22,22.46895079686674,0.05236095220385929,18,0.0,0,0.0,0,609,369,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1140,5,21.58021548231229,0.01814934011058161,5,0.0,0,0.0,0,625,385,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1170,24,21.4956482500645,0.06387021893895053,19,0.0,0,0.0,0,642,400,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1200,23,21.57506812385306,0.044406385059483,17,0.0,0,0.0,0,658,416,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1230,24,21.58703490417033,0.056817790801778754,18,0.0,0,0.0,0,675,431,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1260,28,21.578497817219965,0.0563313490686672,20,0.0,0,0.0,0,691,446,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1290,16,22.2102120016715,0.056444840035768114,16,0.0,0,0.0,0,708,461,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1320,20,22.599680409275916,0.05074944987114047,16,0.0,0,0.0,0,724,476,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1350,21,22.622604335185734,0.05329894410810614,18,0.0,0,0.0,0,741,491,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1380,25,23.13017757783771,0.04513248368911415,18,0.0,0,0.0,0,757,505,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1410,23,23.362580929620698,0.04440463109672616,16,0.0,0,0.0,0,773,521,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1440,16,23.12595869972275,0.03879385102366086,13,0.0,0,0.0,0,790,536,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1470,14,22.377267183403408,0.04910674529243124,14,0.0,0,0.0,0,806,552,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1500,23,21.640095271219526,0.0664940334392213,20,0.0,0,0.0,0,823,567,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1530,22,22.321711416912574,0.06688574693519816,19,0.0,0,0.0,0,839,583,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1560,19,22.972983912952362,0.053123461717878705,17,0.0,0,0.0,0,856,597,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1590,12,22.309113196257403,0.026682256186525897,9,0.0,0,0.0,0,872,613,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1620,22,22.442856105510565,0.055948244631694406,17,0.0,0,0.0,0,889,629,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1650,20,22.357715703913215,0.054427019266271755,16,0.0,0,0.0,0,905,644,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1680,25,22.39057860830773,0.06020286674296358,20,0.0,0,0.0,0,922,659,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1710,21,22.293636550874087,0.04811663404459902,16,0.0,0,0.0,0,938,673,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1740,13,21.421716106441945,0.02737934461566359,9,0.0,0,0.0,0,955,688,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1770,23,21.424627176229784,0.06749235679377534,20,0.0,0,0.0,0,971,705,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1800,21,21.41061469582285,0.05729446706629536,18,0.0,0,0.0,0,987,721,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1830,21,21.430411312071275,0.06061324089823377,18,0.0,0,0.0,0,1004,734,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1860,20,21.364159908391308,0.0674486444425573,19,0.0,0,0.0,0,1020,749,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1890,22,21.737736644474573,0.06221904433404006,19,0.0,0,0.0,0,1037,764,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1920,19,22.764174792651524,0.04973082334122789,16,0.0,0,0.0,0,1053,779,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1950,15,23.835616091690724,0.04404813280472884,14,0.0,0,0.0,0,1070,795,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,1980,16,23.709910612798005,0.04755894868871261,15,0.0,0,0.0,0,1086,811,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,4,2010,21,23.24350251578284,0.05460493973439876,17,0.0,0,0.0,0,1103,825,0,0,1200.0,1200.0,30.0,0.0,0
