mainline_vph,controller,seed,valid,errors,actual_end_s,departed,arrived,completion_rate,terminal_censoring,mainline_aggregate_speed,mainline_mean_trip_speed,mean_duration,p95_duration,max_duration,mean_waitingTime,p95_waitingTime,max_waitingTime,total_timeLoss,total_system_time_s,mean_departDelay,max_departDelay,online_mainline_speed_mps,online_mainline_occupancy,online_bottleneck_throughput_veh,breakdown_start_s,congestion_duration_s,collision,teleport,fatal,emergency_braking,warning,state_mismatches,status,evaluation_throughput,terminal_throughput
1900,none,1,True,[],4161,1900,1900,1.0,False,15.451751013405397,15.707093550589061,473.6505263157895,568.0,599.0,0.0,0.0,0.0,379351.42,900837.0,0.47421052631578947,0.95,22.82846501615391,0.04647281735615827,1783,0,0,0,0,0,0,0,0,uncongested_seed1,1783,1900
1900,none,2,True,[],4189,1900,1900,1.0,False,14.743082547174813,14.967113212847462,496.41789473684213,582.0,623.0,0.0,0.0,0.0,418694.44,944095.0,0.47421052631578947,0.95,22.462094036833108,0.047793318083110846,1788,0,0,0,0,0,0,0,0,uncongested_seed2,1788,1900
1900,none,3,True,[],4150,1900,1900,1.0,False,15.69449231786749,15.895978281046029,466.32473684210527,547.0,574.0,0.0,0.0,0.0,366394.92,886918.0,0.47421052631578947,0.95,23.426867323200135,0.04503594045938483,1783,0,0,0,0,0,0,0,0,uncongested_seed3,1783,1900
1900,none,4,True,[],4154,1900,1900,1.0,False,15.681289138134993,15.941188423476842,466.71736842105264,544.0,577.0,0.0,0.0,0.0,367299.05,887664.0,0.47421052631578947,0.95,23.195268683755938,0.04586906280007184,1779,0,0,0,0,0,0,0,0,uncongested_seed4,1779,1900
1900,none,5,True,[],4157,1900,1900,1.0,False,15.359620869204072,15.587965512777197,476.4915789473684,559.0,582.0,0.0,0.0,0.0,385107.73,906235.0,0.47421052631578947,0.95,23.192934120112252,0.04578119191574023,1784,0,0,0,0,0,0,0,0,uncongested_seed5,1784,1900
1925,none,1,True,[],4207,1925,1925,1.0,False,14.740559686032594,15.075106654536194,496.5028571428571,604.0,618.0,0.016623376623376623,0.0,3.0,428288.33,956719.0,0.49402597402597404,0.99,22.35439879819677,0.048013561339100584,1802,0,0,0,0,0,0,0,0,uncongested_seed1,1802,1925
1925,none,2,True,[],4213,1925,1925,1.0,False,14.784056399246134,15.128604573505461,495.0420779220779,593.0,649.0,0.0,0.0,0.0,421443.56,953907.0,0.49402597402597404,0.99,22.011666372354387,0.048696468039558294,1805,0,0,0,0,0,0,0,0,uncongested_seed2,1805,1925
1925,none,3,True,[],4197,1925,1925,1.0,False,14.994971273543136,15.28517578050113,488.07896103896104,585.0,607.0,0.0,0.0,0.0,412964.52,940503.0,0.49402597402597404,0.99,23.109702209806457,0.0471228589701759,1807,0,0,0,0,0,0,0,0,uncongested_seed3,1807,1925
1925,none,4,True,[],4175,1925,1925,1.0,False,15.623623089403125,15.96001676755352,468.44,564.0,595.0,0.0,0.0,0.0,375488.77,902698.0,0.49402597402597404,0.99,23.07252825658247,0.046107466165602934,1805,0,0,0,0,0,0,0,0,uncongested_seed4,1805,1925
1925,none,5,True,[],4207,1925,1925,1.0,False,14.637383961641758,14.943281275787683,500.0025974025974,600.0,617.0,0.0,0.0,0.0,435255.63,963456.0,0.49402597402597404,0.99,22.957565723474204,0.04640130893331129,1808,0,0,0,0,0,0,0,0,uncongested_seed5,1808,1925
1950,none,1,True,[],4259,1950,1950,1.0,False,14.04587649412193,14.456962413383607,521.0589743589744,655.0,662.0,0.0,0.0,0.0,481435.57,1016966.5,0.4623076923076923,0.92,19.984854427510776,0.06461017312039524,1812,3240,360,0,0,0,0,0,0,congested_seed1,1812,1950
1950,none,2,True,[],4285,1950,1950,1.0,False,13.464234903647126,13.834880431711511,543.5682051282051,669.0,714.0,0.0,0.0,0.0,521765.04,1060859.5,0.4623076923076923,0.92,18.936691495882098,0.06871872130801694,1799,2820,780,0,0,0,0,0,0,congested_seed2,1799,1950
1950,none,3,True,[],4244,1950,1950,1.0,False,14.325904633990628,14.68286713534636,510.87384615384616,634.0,659.0,0.0,0.0,0.0,462589.08,997105.5,0.4623076923076923,0.92,20.743235297392847,0.055967652138556014,1814,3090,510,0,0,0,0,0,0,congested_seed3,1814,1950
1950,none,4,True,[],4242,1950,1950,1.0,False,14.467558923412236,14.905200968869693,505.87179487179486,625.0,652.0,0.0,0.0,0.0,453321.29,987351.5,0.4623076923076923,0.92,21.46955966349232,0.05367067201290724,1821,0,0,0,0,0,0,0,0,uncongested_seed4,1821,1950
1950,none,5,True,[],4256,1950,1950,1.0,False,14.039009425888436,14.421109900820952,521.3138461538462,642.0,668.0,0.0,0.0,0.0,482399.8,1017463.5,0.4623076923076923,0.92,20.51609902757404,0.0576737593019895,1814,3270,330,0,0,0,0,0,0,congested_seed5,1814,1950
1975,none,1,True,[],4313,1975,1975,1.0,False,13.413061422010815,13.906766845421323,545.6420253164557,687.0,733.0,0.26987341772151896,1.0,13.0,535776.62,1078619.0,0.4941772151898734,0.99,18.265719670403843,0.07505242875540642,1817,2640,960,0,0,0,0,0,0,congested_seed1,1817,1975
1975,none,2,True,[],4335,1975,1975,1.0,False,12.898034352541417,13.339633151329762,567.4298734177215,717.0,766.0,0.0,0.0,0.0,575447.28,1121650.0,0.4941772151898734,0.99,16.774867660186693,0.07801784732507906,1802,2520,1080,0,0,0,0,0,0,congested_seed2,1802,1975
1975,none,3,True,[],4296,1975,1975,1.0,False,13.698693721313946,14.143748897571534,534.2648101265822,683.0,700.0,0.0,0.0,0.0,514360.37,1056149.0,0.4941772151898734,0.99,18.615975736126508,0.06940090268521872,1819,2610,990,0,0,0,0,0,0,congested_seed3,1819,1975
