experiment_id,controller,seed,time_s,mainline_vph,ramp_vph,mean_speed_mps,upstream_speed_mps,bottleneck_flow_veh,bottleneck_occupancy,ramp_queue_veh,alinea_requested_rate_vph,alinea_applied_rate_vph,departed_veh,arrived_veh,teleports,metric_schema_version,estimator_id,window_step_observations,main_speed_vehicle_observations,upstream_speed_vehicle_observations,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,loaded_veh,pending_veh,in_network_veh,actual_departure_ratio,completion_ratio,tts_system_s,tts_pending_s,tts_in_network_s
main4500_ramp600_none_seed1_44ca55f8,none,1,30,4500,600,30.25461542681434,,0,0.0,2,1200.0,1200.0,28,0,0,cr02-window-v1,traci-1s-step-complete-window,30,2,0,1.4,2,0.0,0,28,0,28,1.0,0.0,431.0,0.0,431.0
main4500_ramp600_none_seed1_44ca55f8,none,1,60,4500,600,28.865280593697033,,0,0.0,2,1200.0,1200.0,55,0,0,cr02-window-v1,traci-1s-step-complete-window,30,11,0,1.5,2,0.0,0,55,0,55,1.0,0.0,1690.0,0.0,1690.0
main4500_ramp600_none_seed1_44ca55f8,none,1,90,4500,600,29.449002520587477,,0,0.0,2,1200.0,1200.0,83,0,0,cr02-window-v1,traci-1s-step-complete-window,30,20,0,1.5666666666666667,2,0.0,0,83,0,83,1.0,0.0,3777.0,0.0,3777.0
main4500_ramp600_none_seed1_44ca55f8,none,1,120,4500,600,28.56523539047582,33.164256347799245,0,0.0,2,1200.0,1200.0,110,3,0,cr02-window-v1,traci-1s-step-complete-window,30,26,1,1.4,2,0.0,0,110,0,107,1.0,0.02727272727272727,6665.0,0.0,6665.0
main4500_ramp600_none_seed1_44ca55f8,none,1,150,4500,600,29.095068051113458,31.225179612035205,6,0.03172536077041504,2,1200.0,1200.0,139,5,0,cr02-window-v1,traci-1s-step-complete-window,30,35,6,1.5666666666666667,2,0.0,0,139,0,134,1.0,0.03597122302158273,10293.0,0.0,10293.0
main4500_ramp600_none_seed1_44ca55f8,none,1,180,4500,600,28.686071769414845,28.096720743458427,6,0.03252846116179266,2,1200.0,1200.0,166,9,0,cr02-window-v1,traci-1s-step-complete-window,30,40,10,1.7666666666666666,2,0.0,0,166,0,157,1.0,0.05421686746987952,14653.0,0.0,14653.0
main4500_ramp600_none_seed1_44ca55f8,none,1,210,4500,600,28.39704727768559,27.168776570411683,8,0.03949388039794523,2,1200.0,1200.0,193,20,0,cr02-window-v1,traci-1s-step-complete-window,30,42,8,1.5333333333333334,2,0.0,0,193,0,173,1.0,0.10362694300518134,19646.0,0.0,19646.0
main4500_ramp600_none_seed1_44ca55f8,none,1,240,4500,600,28.64668501896287,27.9796083679836,9,0.04928341270993333,2,1200.0,1200.0,221,37,0,cr02-window-v1,traci-1s-step-complete-window,30,42,9,1.5,2,0.0,0,221,0,184,1.0,0.167420814479638,25005.0,0.0,25005.0
main4500_ramp600_none_seed1_44ca55f8,none,1,270,4500,600,28.399182429692907,27.271818736543707,10,0.0538806492161522,2,1200.0,1200.0,249,58,0,cr02-window-v1,traci-1s-step-complete-window,30,45,9,1.5,2,0.0,0,249,0,191,1.0,0.23293172690763053,30688.0,0.0,30688.0
main4500_ramp600_none_seed1_44ca55f8,none,1,300,4500,600,28.55661400472243,29.775947159609714,12,0.06312619198691133,2,1200.0,1200.0,276,75,0,cr02-window-v1,traci-1s-step-complete-window,30,46,9,1.5,2,0.0,0,276,0,201,1.0,0.2717391304347826,36701.0,0.0,36701.0
main4500_ramp600_none_seed1_44ca55f8,none,1,330,4500,600,28.836224229187305,29.95236939805259,9,0.042834994876202855,2,1200.0,1200.0,304,106,0,cr02-window-v1,traci-1s-step-complete-window,30,45,8,1.4333333333333333,2,0.0,0,304,0,198,1.0,0.34868421052631576,42725.0,0.0,42725.0
main4500_ramp600_none_seed1_44ca55f8,none,1,360,4500,600,28.360329623223816,30.668233225440094,9,0.02994907148852993,2,1200.0,1200.0,331,135,0,cr02-window-v1,traci-1s-step-complete-window,30,35,5,1.7333333333333334,2,0.0,0,331,0,196,1.0,0.4078549848942598,48660.0,0.0,48660.0
main4500_ramp600_none_seed1_44ca55f8,none,1,390,4500,600,27.988010754894756,28.425162175801518,10,0.04941006812983157,3,1200.0,1200.0,360,162,0,cr02-window-v1,traci-1s-step-complete-window,30,44,7,2.1333333333333333,3,0.13333333333333333,1,360,0,198,1.0,0.45,54585.0,0.0,54585.0
main4500_ramp600_none_seed1_44ca55f8,none,1,420,4500,600,28.11254990709147,27.33571768167642,6,0.03645106715154611,6,1200.0,1200.0,387,186,0,cr02-window-v1,traci-1s-step-complete-window,30,42,10,4.333333333333333,6,2.3,4,387,0,201,1.0,0.4806201550387597,60594.0,0.0,60594.0
main4500_ramp600_none_seed1_44ca55f8,none,1,450,4500,600,27.634891762620523,27.26584870720645,13,0.057524844929878326,8,1200.0,1200.0,414,208,0,cr02-window-v1,traci-1s-step-complete-window,30,41,5,6.6,8,4.633333333333334,6,414,0,206,1.0,0.5024154589371981,66670.0,0.0,66670.0
main4500_ramp600_none_seed1_44ca55f8,none,1,480,4500,600,28.080050710613886,27.432783051306625,7,0.03471697145729233,11,1200.0,1200.0,442,222,0,cr02-window-v1,traci-1s-step-complete-window,30,39,9,9.8,11,7.966666666666667,10,442,0,220,1.0,0.502262443438914,73010.0,0.0,73010.0
main4500_ramp600_none_seed1_44ca55f8,none,1,510,4500,600,27.755440564671392,27.603155096216,12,0.06673021039025949,15,1200.0,1200.0,470,250,0,cr02-window-v1,traci-1s-step-complete-window,30,44,7,13.066666666666666,15,11.366666666666667,13,470,0,220,1.0,0.5319148936170213,79624.0,0.0,79624.0
main4500_ramp600_none_seed1_44ca55f8,none,1,540,4500,600,27.67154864052241,27.03785638958471,8,0.03901627580737378,17,1200.0,1200.0,497,275,0,cr02-window-v1,traci-1s-step-complete-window,30,47,10,15.466666666666667,17,13.8,15,497,0,222,1.0,0.5533199195171026,86207.0,0.0,86207.0
