level,scan_id,experiment_id,seed,selected_attempt,selected_output_dir,artifact_manifest_sha256,valid,window_count,window_grid_complete,native_detector_count,native_detector_ids,teleports,collision_event_count,teleport_event_count,emergency_event_count,sumo_error_event_count,sumo_error_log_nonempty,quality_flag_count,hard_invalid_count,source_sha256_match,raw_net_sha256,raw_net_sha256_match,semantic_net_sha256,semantic_net_sha256_match,config_sha256,scan_identity_sha256,actual_departure_ratio,completion_ratio,terminal_in_network_count,terminal_pending_count,failure_reason
low,stage1_low_formal_v1,main3000_ramp300_none_seed0_189a3f3c,0,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed0_189a3f3c\attempt_0001,0653353d35da20b2442d8adcbfca7ef66b01de40f6f9485ea058d27e56dd4bd0,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,44f5c4363317ad0e0d0106719b0d7610868afa827346747a7c991585a7d573e3,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,639fa6597f60ac0cb9e66011f4cafbfcd54ee22081dec130dd4b8dd269069dd3,150e9b56a08a60df9c3e7433a78d55a70203675bab1e139208caaa826da0ac6b,0.94818279956819,0.8812522490104354,186,144,
low,stage1_low_formal_v1,main3000_ramp300_none_seed1_189a3f3c,1,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed1_189a3f3c\attempt_0001,642094d6046cd4f2a3ffd4e55fe416aeeb89f0103f51b34ab4a7ab23910ce178,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,44f5c4363317ad0e0d0106719b0d7610868afa827346747a7c991585a7d573e3,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,639fa6597f60ac0cb9e66011f4cafbfcd54ee22081dec130dd4b8dd269069dd3,150e9b56a08a60df9c3e7433a78d55a70203675bab1e139208caaa826da0ac6b,0.9467434328895286,0.8783735156531126,190,148,
low,stage1_low_formal_v1,main3000_ramp300_none_seed2_189a3f3c,2,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed2_189a3f3c\attempt_0001,465d76dd1d08f4885753eceb63fd0b41eb9a99cf7ebce53b29913764e4358e93,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,44f5c4363317ad0e0d0106719b0d7610868afa827346747a7c991585a7d573e3,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,639fa6597f60ac0cb9e66011f4cafbfcd54ee22081dec130dd4b8dd269069dd3,150e9b56a08a60df9c3e7433a78d55a70203675bab1e139208caaa826da0ac6b,0.9474631162288593,0.8819719323497661,182,146,
low,stage1_low_formal_v1,main3000_ramp300_none_seed3_189a3f3c,3,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed3_189a3f3c\attempt_0001,a6f5ecc01f01f42e254b5c82589279692fda2c7b59ae7c95da85244eee50e7ab,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,44f5c4363317ad0e0d0106719b0d7610868afa827346747a7c991585a7d573e3,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,639fa6597f60ac0cb9e66011f4cafbfcd54ee22081dec130dd4b8dd269069dd3,150e9b56a08a60df9c3e7433a78d55a70203675bab1e139208caaa826da0ac6b,0.9431450161928752,0.8762144656351205,186,158,
low,stage1_low_formal_v1,main3000_ramp300_none_seed4_189a3f3c,4,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed4_189a3f3c\attempt_0001,bccda34de32393ecda6b43ea1da7fee0b42a7f81bcf54d013d1dd1baccbcc55a,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,44f5c4363317ad0e0d0106719b0d7610868afa827346747a7c991585a7d573e3,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,639fa6597f60ac0cb9e66011f4cafbfcd54ee22081dec130dd4b8dd269069dd3,150e9b56a08a60df9c3e7433a78d55a70203675bab1e139208caaa826da0ac6b,0.9420654911838791,0.8751349406261245,186,161,
medium,stage1_medium_formal_v1,main4500_ramp600_none_seed0_44ca55f8,0,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed0_44ca55f8\attempt_0001,b6afedaa69fed18f6f087c938e7b05c00260e9b65064e71f15ba42bf335b8a71,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,fdaca3f89b7bb29d478bf8e00f83bd7a3cca9bf6b2f7fe81440655a997f33973,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,a744655c26224ca23f416744d4033e7ce8ab97e646ba9048570eb961a84b730f,b751de576c150a756a8fe187df4ffe0003575bf315e4cf9c0d803dc20a3db668,0.9044734389561976,0.8445945945945946,257,410,
medium,stage1_medium_formal_v1,main4500_ramp600_none_seed1_44ca55f8,1,2,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed1_44ca55f8\attempt_0002,e57df3216bef7d89603226f7eb6d0fc987822785ba049d7a338b48474572ba2a,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,fdaca3f89b7bb29d478bf8e00f83bd7a3cca9bf6b2f7fe81440655a997f33973,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,a744655c26224ca23f416744d4033e7ce8ab97e646ba9048570eb961a84b730f,b751de576c150a756a8fe187df4ffe0003575bf315e4cf9c0d803dc20a3db668,0.9054054054054054,0.8436626281453867,265,406,
medium,stage1_medium_formal_v1,main4500_ramp600_none_seed2_44ca55f8,2,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed2_44ca55f8\attempt_0001,ac51916da6c022c4a1a09012ab9443f98036383f58b9061ad4629eb4258b1d3f,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,fdaca3f89b7bb29d478bf8e00f83bd7a3cca9bf6b2f7fe81440655a997f33973,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,a744655c26224ca23f416744d4033e7ce8ab97e646ba9048570eb961a84b730f,b751de576c150a756a8fe187df4ffe0003575bf315e4cf9c0d803dc20a3db668,0.9056383970177073,0.8457595526561044,257,405,
medium,stage1_medium_formal_v1,main4500_ramp600_none_seed3_44ca55f8,3,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed3_44ca55f8\attempt_0001,e1995a79af4c5b67a0ddcb28c22d1ebbd149a83bd7a8ef1910b5270056ed8f13,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,fdaca3f89b7bb29d478bf8e00f83bd7a3cca9bf6b2f7fe81440655a997f33973,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,a744655c26224ca23f416744d4033e7ce8ab97e646ba9048570eb961a84b730f,b751de576c150a756a8fe187df4ffe0003575bf315e4cf9c0d803dc20a3db668,0.9065703634669152,0.8469245107176142,256,401,
medium,stage1_medium_formal_v1,main4500_ramp600_none_seed4_44ca55f8,4,1,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed4_44ca55f8\attempt_0001,c5a7e7f3d0b213d58368c255ce782bc24c8461ab14566a1b22cf87903e2c16d8,True,120,True,8,det_bottleneck_down|det_main_0|det_main_1|det_main_2|det_main_3|det_main_4|det_ramp_arrival|det_ramp_queue,0,0,0,0,0,False,0,0,True,fdaca3f89b7bb29d478bf8e00f83bd7a3cca9bf6b2f7fe81440655a997f33973,True,502e41585b7169e726bba5b1bd19393af2025c1480a7cf483c94002b6452752f,True,a744655c26224ca23f416744d4033e7ce8ab97e646ba9048570eb961a84b730f,b751de576c150a756a8fe187df4ffe0003575bf315e4cf9c0d803dc20a3db668,0.9049394221808015,0.8464585274930102,251,408,
