level,scan_id,selected,experiment_id,mainline_vph,ramp_vph,controller,seed,status,attempt_status,valid,output_dir,failure_reason,failure_stage,failure_type,failure_message,retryable,attempt,started_at,finished_at
low,stage1_low_formal_v1,True,main3000_ramp300_none_seed0_189a3f3c,3000,300,none,0,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed0_189a3f3c\attempt_0001,,,,,False,1,2026-08-07T12:59:58.624220+00:00,2026-08-07T13:00:14.237478+00:00
low,stage1_low_formal_v1,True,main3000_ramp300_none_seed1_189a3f3c,3000,300,none,1,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed1_189a3f3c\attempt_0001,,,,,False,1,2026-08-07T13:00:14.608990+00:00,2026-08-07T13:00:31.457660+00:00
low,stage1_low_formal_v1,True,main3000_ramp300_none_seed2_189a3f3c,3000,300,none,2,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed2_189a3f3c\attempt_0001,,,,,False,1,2026-08-07T13:00:31.855003+00:00,2026-08-07T13:00:49.049348+00:00
low,stage1_low_formal_v1,True,main3000_ramp300_none_seed3_189a3f3c,3000,300,none,3,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed3_189a3f3c\attempt_0001,,,,,False,1,2026-08-07T13:00:49.468088+00:00,2026-08-07T13:01:07.347455+00:00
low,stage1_low_formal_v1,True,main3000_ramp300_none_seed4_189a3f3c,3000,300,none,4,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_low_formal_v1\runs\main3000_ramp300_none_seed4_189a3f3c\attempt_0001,,,,,False,1,2026-08-07T13:01:07.838864+00:00,2026-08-07T13:01:26.042606+00:00
medium,stage1_medium_formal_v1,True,main4500_ramp600_none_seed0_44ca55f8,4500,600,none,0,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed0_44ca55f8\attempt_0001,,,,,False,1,2026-08-07T13:01:26.714415+00:00,2026-08-07T13:01:49.986011+00:00
medium,stage1_medium_formal_v1,False,main4500_ramp600_none_seed1_44ca55f8,4500,600,none,1,invalid,failed,False,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed1_44ca55f8\attempt_0001,[Errno 2] No such file or directory: 'outputs\\stage_1\\formal_scans\\stage1_medium_formal_v1\\runs\\main4500_ramp600_none_seed1_44ca55f8\\attempt_0001\\artifact_manifest.json',output_parse,FileNotFoundError,[Errno 2] No such file or directory: 'outputs\\stage_1\\formal_scans\\stage1_medium_formal_v1\\runs\\main4500_ramp600_none_seed1_44ca55f8\\attempt_0001\\artifact_manifest.json',False,1,,
medium,stage1_medium_formal_v1,True,main4500_ramp600_none_seed1_44ca55f8,4500,600,none,1,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed1_44ca55f8\attempt_0002,,,,,False,2,2026-08-07T13:02:41.436914+00:00,2026-08-07T13:03:03.805161+00:00
medium,stage1_medium_formal_v1,True,main4500_ramp600_none_seed2_44ca55f8,4500,600,none,2,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed2_44ca55f8\attempt_0001,,,,,False,1,2026-08-07T13:03:04.209734+00:00,2026-08-07T13:03:26.323384+00:00
medium,stage1_medium_formal_v1,True,main4500_ramp600_none_seed3_44ca55f8,4500,600,none,3,valid,success,True,D:\python_install\py\rl\0325\0325\outputs\stage_1\formal_scans\stage1_medium_formal_v1\runs\main4500_ramp600_none_seed3_44ca55f8\attempt_0001,,,,,False,1,2026-08-07T13:03:26.704701+00:00,2026-08-07T13:03:48.395900+00:00
