level,time_s,seed_count,source_output_dirs_json,mean_speed_mps_observed_seed_count,mean_speed_mps_mean,mean_speed_mps_min,mean_speed_mps_max,bottleneck_flow_veh_observed_seed_count,bottleneck_flow_veh_mean,bottleneck_flow_veh_min,bottleneck_flow_veh_max,ramp_vehicle_max_veh_observed_seed_count,ramp_vehicle_max_veh_mean,ramp_vehicle_max_veh_min,ramp_vehicle_max_veh_max,actual_departure_ratio_observed_seed_count,actual_departure_ratio_mean,actual_departure_ratio_min,actual_departure_ratio_max
low,30,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,31.550836262012837,30.228342094100462,32.33298048909305,5,0.0,0.0,0.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
low,60,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,29.850519243152235,28.973712538880065,31.411602505800627,5,0.0,0.0,0.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
low,90,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,30.31275919653188,29.911257205518748,30.96738284326012,5,0.0,0.0,0.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
low,120,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,30.221431052155555,29.796514354519218,30.678297199636724,5,0.0,0.0,0.0,5,1.4,1.0,2.0,5,1.0,1.0,1.0
low,150,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,30.540900860776013,30.069517084860266,30.907728376002137,5,3.0,1.0,6.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
low,180,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,30.51287065102225,29.92019576655535,31.057944736763034,5,7.6,5.0,10.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
low,210,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,30.24310964791989,29.794469808171815,30.80344561280346,5,7.0,5.0,9.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
low,240,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,30.22896187385947,29.778862342820574,30.66089737492481,5,6.0,2.0,8.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
low,270,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,30.274303217343128,29.885597712743948,31.217038291965913,5,9.8,7.0,12.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
low,300,5,"[""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed0_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed1_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed2_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed3_189a3f3c\\attempt_0001"", ""D:\\python_install\\py\\rl\\0325\\0325\\outputs\\stage_1\\formal_scans\\stage1_low_formal_v1\\runs\\main3000_ramp300_none_seed4_189a3f3c\\attempt_0001""]",5,30.3902560219391,29.671202039417754,30.803892396124514,5,8.8,8.0,9.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0
