experiment_id,controller,seed,time_s,mainline_vph,ramp_vph,mean_speed_mps,upstream_speed_mps,bottleneck_flow_veh,bottleneck_occupancy,ramp_queue_veh,alinea_requested_rate_vph,alinea_applied_rate_vph,departed_veh,arrived_veh,teleports,metric_schema_version,estimator_id,window_step_observations,main_speed_vehicle_observations,upstream_speed_vehicle_observations,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,loaded_veh,pending_veh,in_network_veh,actual_departure_ratio,completion_ratio,tts_system_s,tts_pending_s,tts_in_network_s
main4500_ramp600_none_seed0_6fcbe034,none,0,30,4500,600,30.634548437412217,,0,0.0,2,1200.0,1200.0,28,0,0,cr02-window-v1,traci-1s-step-complete-window,30,3,0,1.3333333333333333,2,0.0,0,28,0,28,1.0,0.0,431.0,0.0,431.0
main4500_ramp600_none_seed0_6fcbe034,none,0,60,4500,600,29.380943188695973,,0,0.0,2,1200.0,1200.0,55,0,0,cr02-window-v1,traci-1s-step-complete-window,30,13,0,1.5,2,0.0,0,55,0,55,1.0,0.0,1690.0,0.0,1690.0
main4500_ramp600_none_seed0_6fcbe034,none,0,90,4500,600,28.746358592233953,,0,0.0,2,1200.0,1200.0,83,0,0,cr02-window-v1,traci-1s-step-complete-window,30,20,0,1.7,2,0.0,0,83,0,83,1.0,0.0,3777.0,0.0,3777.0
main4500_ramp600_none_seed0_6fcbe034,none,0,120,4500,600,28.997883625290033,32.73038117655527,0,0.0,2,1200.0,1200.0,110,3,0,cr02-window-v1,traci-1s-step-complete-window,30,27,2,1.5,2,0.0,0,110,0,107,1.0,0.02727272727272727,6659.0,0.0,6659.0
main4500_ramp600_none_seed0_6fcbe034,none,0,150,4500,600,29.39308968469257,31.817914736015126,5,0.02565137062508048,2,1200.0,1200.0,139,5,0,cr02-window-v1,traci-1s-step-complete-window,30,38,7,1.7333333333333334,2,0.0,0,139,0,134,1.0,0.03597122302158273,10279.0,0.0,10279.0
main4500_ramp600_none_seed0_6fcbe034,none,0,180,4500,600,29.557753378239234,29.30768536745116,10,0.03943821798430349,2,1200.0,1200.0,166,8,0,cr02-window-v1,traci-1s-step-complete-window,30,41,8,1.5,2,0.0,0,166,0,158,1.0,0.04819277108433735,14655.0,0.0,14655.0
main4500_ramp600_none_seed0_6fcbe034,none,0,210,4500,600,28.666964654167725,28.908257954912358,9,0.04062488880409016,2,1200.0,1200.0,193,21,0,cr02-window-v1,traci-1s-step-complete-window,30,45,10,1.4666666666666666,2,0.0,0,193,0,172,1.0,0.10880829015544041,19638.0,0.0,19638.0
main4500_ramp600_none_seed0_6fcbe034,none,0,240,4500,600,28.508991566254988,27.10108054939285,10,0.05739502050728713,2,1200.0,1200.0,221,37,0,cr02-window-v1,traci-1s-step-complete-window,30,46,11,1.5666666666666667,2,0.0,0,221,0,184,1.0,0.167420814479638,24966.0,0.0,24966.0
main4500_ramp600_none_seed0_6fcbe034,none,0,270,4500,600,28.515105988884997,28.290492441436463,16,0.06445725795374813,2,1200.0,1200.0,249,54,0,cr02-window-v1,traci-1s-step-complete-window,30,46,10,1.5333333333333334,2,0.0,0,249,0,195,1.0,0.21686746987951808,30676.0,0.0,30676.0
main4500_ramp600_none_seed0_6fcbe034,none,0,300,4500,600,27.99754703963603,28.794613236951886,10,0.03957414349239343,2,1200.0,1200.0,276,82,0,cr02-window-v1,traci-1s-step-complete-window,30,47,7,1.5333333333333334,2,0.0,0,276,0,194,1.0,0.2971014492753623,36495.0,0.0,36495.0
main4500_ramp600_none_seed0_6fcbe034,none,0,330,4500,600,28.533817193410215,29.200385276698025,11,0.04135727315558976,2,1200.0,1200.0,304,104,0,cr02-window-v1,traci-1s-step-complete-window,30,39,9,1.7666666666666666,2,0.0,0,304,0,200,1.0,0.34210526315789475,42427.0,0.0,42427.0
main4500_ramp600_none_seed0_6fcbe034,none,0,360,4500,600,28.36253064793026,28.518031430406452,8,0.04533789297326128,2,1200.0,1200.0,331,138,0,cr02-window-v1,traci-1s-step-complete-window,30,39,9,1.7666666666666666,2,0.0,0,331,0,193,1.0,0.4169184290030212,48279.0,0.0,48279.0
main4500_ramp600_none_seed0_6fcbe034,none,0,390,4500,600,28.332154243233084,28.45196373242283,10,0.04457973521540263,3,1200.0,1200.0,360,155,0,cr02-window-v1,traci-1s-step-complete-window,30,37,6,2.2666666666666666,3,0.13333333333333333,1,360,0,205,1.0,0.4305555555555556,54276.0,0.0,54276.0
main4500_ramp600_none_seed0_6fcbe034,none,0,420,4500,600,27.94904115393717,27.988746040087495,7,0.03381413773185311,6,1200.0,1200.0,387,176,0,cr02-window-v1,traci-1s-step-complete-window,30,43,6,4.333333333333333,6,2.3,4,387,0,211,1.0,0.45478036175710596,60469.0,0.0,60469.0
